,Nb sommets,Nb aretes,Time_limit,Statut_exp,Statut_CP,Statut_CPM,Statut_Martin,Statut_cycle,Objectif_exp,Objectif_CP,Objectif_CPM,Objectif_Martin,Objectif_cycle,Ecriture_exp,Ecriture_CP,Ecriture_CPM,Ecriture_Martin,Ecriture_cycle,Resolution_exp,Resolution_CP,Resolution_CPM,Resolution_Martin,Resolution_cycle
Spd_RF2_450_581_4947,450,581,1151,,1,,,1.0,,79,,,96.0,,0.1515498161315918,,,7.0,,146.23755860328674,,,8.17533540725708
Spd_RF2_450_581_4955,450,581,1151,,1,,,1.0,,77,,,91.0,,0.10916638374328613,,,6.0,,486.18378376960754,,,6.7741193771362305
Spd_RF2_450_581_4963,450,581,1151,,1,,,,,77,,,,,0.1111447811126709,,,,,264.0198702812195,,,
Spd_RF2_450_614_4971,450,614,1184,,1,,,1.0,,65,,,86.0,,0.2075212001800537,,,14.0,,816.4683916568756,,,11.620154857635498
Spd_RF2_450_614_4979,450,614,1184,,1,,,1.0,,66,,,87.0,,0.18341350555419922,,,18.0,,2976.9117081165314,,,12.424751043319702
Spd_RF2_450_614_4987,450,614,1184,,1,,,1.0,,64,,,88.0,,0.291964054107666,,,86.0,,508.32532477378845,,,25.76880645751953
Spd_RF2_450_614_4995,450,614,1184,,1,,,1.0,,68,,,86.0,,0.11199808120727539,,,10.0,,669.0721755027771,,,15.011411428451538
Spd_RF2_450_614_5003,450,614,1184,,1,,,1.0,,67,,,83.0,,0.15955376625061035,,,17.0,,174.56570100784302,,,17.024800300598145
Spd_RF2_500_534_5011,500,534,1154,,1,,,,,141,,,,,0.10487747192382812,,,,,6.642703056335449,,,
Spd_RF2_500_534_5019,500,534,1154,,1,,,1.0,,141,,,144.0,,0.10346674919128418,,,6.0,,7.5628838539123535,,,2.279649496078491
Spd_RF2_500_534_5027,500,534,1154,,1,,,1.0,,141,,,145.0,,0.11843252182006836,,,8.0,,3.231072425842285,,,2.636800765991211
Spd_RF2_500_534_5035,500,534,1154,,1,,,1.0,,145,,,151.0,,0.1040046215057373,,,4.0,,5.835989236831665,,,2.378878116607666
Spd_RF2_500_534_5043,500,534,1154,,1,,,1.0,,140,,,144.0,,0.10909318923950195,,,6.0,,5.003148794174194,,,2.2075440883636475
Spd_RF2_500_568_5051,500,568,1188,,1,,,1.0,,121,,,125.0,,0.1083672046661377,,,9.0,,89.18320727348328,,,4.0273802280426025
Spd_RF2_500_568_5059,500,568,1188,,1,,,1.0,,119,,,127.0,,0.10751581192016602,,,11.0,,10.840858697891235,,,6.086230039596558
Spd_RF2_500_568_5067,500,568,1188,,1,,,1.0,,122,,,132.0,,0.11191082000732422,,,11.0,,94.8329529762268,,,4.8207480907440186
Spd_RF2_500_568_5075,500,568,1188,,1,,,1.0,,121,,,131.0,,0.10900545120239258,,,8.0,,38.333773374557495,,,4.36536717414856
Spd_RF2_500_568_5083,500,568,1188,,1,,,1.0,,121,,,129.0,,0.11277151107788086,,,9.0,,9.609739542007446,,,5.310943603515625
Spd_RF2_500_603_5091,500,603,1223,,1,,,1.0,,109,,,125.0,,0.11377954483032227,,,51.0,,27.922250032424927,,,10.941713333129883
Spd_RF2_500_603_5099,500,603,1223,,1,,,1.0,,105,,,116.0,,0.11650943756103516,,,17.0,,39.65281629562378,,,7.69353175163269
Spd_RF2_500_603_5107,500,603,1223,,1,,,1.0,,107,,,119.0,,0.11399531364440918,,,25.0,,466.4739212989807,,,8.546470642089844
Spd_RF2_500_603_5115,500,603,1223,,1,,,1.0,,105,,,119.0,,0.19575786590576172,,,10.0,,53.415688037872314,,,6.892512798309326
Spd_RF2_500_603_5123,500,603,1223,,1,,,1.0,,102,,,117.0,,0.21967387199401855,,,55.0,,687.6719837188721,,,12.388100147247314
Spd_RF2_500_637_5131,500,637,1257,,1,,,1.0,,92,,,115.0,,0.11810755729675293,,,24.0,,89.05455470085144,,,13.188485383987427
Spd_RF2_500_637_5139,500,637,1257,,1,,,1.0,,91,,,107.0,,0.14566826820373535,,,17.0,,46.36329936981201,,,10.624760866165161
Spd_RF2_500_637_5147,500,637,1257,,1,,,1.0,,91,,,102.0,,0.11824703216552734,,,11.0,,28.364837646484375,,,9.629825830459595
Spd_RF2_500_637_5155,500,637,1257,,1,,,1.0,,86,,,110.0,,0.1217508316040039,,,32.0,,791.0843992233276,,,14.16044282913208
Spd_RF2_500_637_5163,500,637,1257,,1,,,1.0,,85,,,108.0,,0.133406400680542,,,45.0,,32.51323962211609,,,15.000467777252197
Spd_RF2_500_672_5171,500,672,1292,,1,,,1.0,,81,,,100.0,,0.13752961158752441,,,65.0,,173.69345688819885,,,26.46679139137268
Spd_RF2_500_672_5179,500,672,1292,,1,,,1.0,,77,,,102.0,,0.22111177444458008,,,22.0,,1621.833333492279,,,16.46532368659973
Spd_RF2_500_672_5187,500,672,1292,,1,,,1.0,,71,,,93.0,,0.15455245971679688,,,15.0,,2411.6185162067413,,,14.649365663528442
Spd_RF2_500_672_5195,500,672,1292,,1,,,1.0,,77,,,87.0,,0.37309980392456055,,,217.0,,2619.1848499774933,,,44.112242460250854
Spd_RF2_500_672_5203,500,672,1292,,1,,,,,76,,,,,0.14641976356506348,,,,,869.1537861824036,,,
